id_pochodzenie_pojazdu,liczba-wystapien
1087,1
1401,1
1624,1
1665,1
1884,1
1898,1
1900,383
1901,73
1903,1
1904,8
1909,1
1910,2
1911,5
1912,1
1913,1
1915,5
1916,2
1917,5
1918,1
1919,4
1920,3
1922,3
1923,6
1924,15
1925,10
1926,20
1927,15
1928,44
1929,43
1930,48
1931,57
1932,36
1933,21
1934,57
1935,44
1936,107
1937,95
1938,143
1939,129
1940,70
1941,83
1942,181
1943,110
1944,98
1945,67
1946,513
1947,110
1948,153
1949,159
1950,279
1951,308
1952,369
1953,391
1954,491
1955,506
1956,773
1957,1033
1958,1372
1959,1658
1960,2683
1961,2398
1962,3309
1963,3778
1964,3910
1965,4433
1966,4483
1967,5698
1968,6776
1969,7525
1970,7963
1971,8564
1972,10300
1973,10820
1974,11746
1975,12967
1976,14952
1977,16715
1978,20481
1979,22440
1980,25337
1981,23328
1982,27015
1983,30695
1984,33533
1985,35082
1986,40489
1987,43502
1988,51282
1989,56323
1990,59982
1991,73151
1992,83154
1993,93861
1994,126433
1995,171341
1996,239669
1997,326578
1998,464249
1999,608079
2000,593920
2001,568006
2002,596705
2003,657965
2004,693058
2005,663739
2006,656977
2007,691719
2008,662788
2009,522856
2010,511782
2011,486851
2012,403968
2013,355781
2014,367669
2015,405364
2016,454817
2017,449994
2018,374997
2019,561241
2020,650347
2021,682130
2022,125326
2318,1
2321,1
2455,1
5000,1
9722,1
FABRYCZNY,30612074
PRODUKCJA JEDNOSTKOWA,87489
SAM,494674
SKŁADAK,701634
ZABYTKOWY,22972
